SE 410 Software Evolution,K0198,0.75016785
SE 410 Software Evolution,K0258,0.7091279
SE 410 Software Evolution,K0152,0.7036921
SE 410 Software Evolution,K0264,0.70726717
INFO 101 Introduction to Computing and Security Technology,K0109,0.718572
INFO 101 Introduction to Computing and Security Technology,K0001,0.76643926
INFO 101 Introduction to Computing and Security Technology,K0221,0.7190347
INFO 101 Introduction to Computing and Security Technology,K0395,0.72422636
INFO 101 Introduction to Computing and Security Technology,K0437,0.7082476
INFO 101 Introduction to Computing and Security Technology,K0436,0.74239814
INFO 101 Introduction to Computing and Security Technology,K0108,0.7054274
INFO 101 Introduction to Computing and Security Technology,K0445,0.75722003
INFO 101 Introduction to Computing and Security Technology,K0446,0.73627937
INFO 101 Introduction to Computing and Security Technology,K0560,0.7667693
INFO 101 Introduction to Computing and Security Technology,K0614,0.7872616
INFO 101 Introduction to Computing and Security Technology,K0491,0.7703968
INFO 101 Introduction to Computing and Security Technology,K0564,0.7469196
INFO 101 Introduction to Computing and Security Technology,K0599,0.78216314
INFO 101 Introduction to Computing and Security Technology,K0600,0.7683108
INFO 101 Introduction to Computing and Security Technology,K0442,0.76823926
INFO 101 Introduction to Computing and Security Technology,K0455,0.74817926
INFO 101 Introduction to Computing and Security Technology,K0373,0.7095618
INFO 101 Introduction to Computing and Security Technology,K0428,0.75327563
INFO 101 Introduction to Computing and Security Technology,K0609,0.7205961
INFO 101 Introduction to Computing and Security Technology,K0536,0.72593373
INFO 101 Introduction to Computing and Security Technology,K0122,0.76054025
INFO 101 Introduction to Computing and Security Technology,K0255,0.72273695
INFO 101 Introduction to Computing and Security Technology,K0179,0.7309148
INFO 101 Introduction to Computing and Security Technology,K0095,0.7150955
INFO 101 Introduction to Computing and Security Technology,K0193,0.704036
INFO 101 Introduction to Computing and Security Technology,K0278,0.73159474
INFO 101 Introduction to Computing and Security Technology,K0096,0.7239797
INFO 101 Introduction to Computing and Security Technology,K0200,0.7471378
INFO 101 Introduction to Computing and Security Technology,K0049,0.7152934
INFO 101 Introduction to Computing and Security Technology,K0011,0.7293906
INFO 101 Introduction to Computing and Security Technology,K0050,0.72054255
INFO 101 Introduction to Computing and Security Technology,K0061,0.74955356
INFO 101 Introduction to Computing and Security Technology,K0180,0.7340392
INFO 101 Introduction to Computing and Security Technology,K0071,0.7389588
INFO 101 Introduction to Computing and Security Technology,K0093,0.73196423
